id	sampleA	sampleB	baseMeanA	baseMeanB	log2FC	pval	padj	sig
LOC100823888	KOZ1C	KOZ1T	40.651636819058496	35.86027862647442	0.18278687102293106	0.6494389170636055	0.9999258991348372	notDE
LOC100823890	KOZ1C	KOZ1T	9.165720558238053	4.865221519719486	0.9332568963579883	0.3773825752410508	0.9999258991348372	notDE
LOC100823891	KOZ1C	KOZ1T	11.520545785078863	73.42706156112713	-2.683529702443284	0.005866758641036375	0.43075547098993994	notDE
LOC100823892	KOZ1C	KOZ1T	7.52909402063767	13.550375412722984	-0.8740648942964816	0.3023004361755015	0.9999258991348372	notDE
LOC100823893	KOZ1C	KOZ1T	3.273674065814538	4.669632979265663	-0.532316837987528	0.6512748379527574	0.9999258991348372	notDE
LOC100823894	KOZ1C	KOZ1T	299.1513976659048	261.2260527743325	0.19696419298793125	0.24395665720777143	0.9999258991348372	notDE
LOC100823896	KOZ1C	KOZ1T	8131.238526125332	8290.64515889768	-0.028143544546754856	0.9085021426653606	0.9999258991348372	notDE
LOC100823897	KOZ1C	KOZ1T	662.722244919437	802.1682771440701	-0.2770220893689235	0.23121614312908337	0.9999258991348372	notDE
LOC100823898	KOZ1C	KOZ1T	84.38288842140236	88.70866097404557	-0.06678251084578687	0.8386074504393176	0.9999258991348372	notDE
LOC100823900	KOZ1C	KOZ1T	2541.4448755523104	2368.2101761521017	0.10214650005918319	0.645856905756112	0.9999258991348372	notDE
LOC100823901	KOZ1C	KOZ1T	1120.8992944150339	895.5353947365759	0.32477234318302645	0.34021383987997106	0.9999258991348372	notDE
LOC100823903	KOZ1C	KOZ1T	501.7073989365784	479.4804641808793	0.06762112370455924	0.7348694245949187	0.9999258991348372	notDE
LOC100823904	KOZ1C	KOZ1T	2.3380640958083303	3.778276001126742	-0.6596932630421347	0.6368745432651687	NA	notDE
LOC100823905	KOZ1C	KOZ1T	8.58473311547048	7.1905037693416265	0.2843477298948061	0.8042089690282861	0.9999258991348372	notDE
LOC100823906	KOZ1C	KOZ1T	17.873905124750113	6.479140723671431	1.4755256768804004	0.24821338052253217	0.9999258991348372	notDE
LOC100823907	KOZ1C	KOZ1T	99.90918761957926	73.76124954199129	0.44442206377645194	0.24009552380275065	0.9999258991348372	notDE
LOC100823908	KOZ1C	KOZ1T	623.3987118219453	675.8939175148575	-0.11620863235360807	0.4469991448685718	0.9999258991348372	notDE
LOC100823909	KOZ1C	KOZ1T	744.8528107228509	796.6692939264428	-0.09649940019005258	0.4659967384060347	0.9999258991348372	notDE
LOC100823910	KOZ1C	KOZ1T	58.59024381891037	49.9945525526141	0.23677148539483048	0.501226985413546	0.9999258991348372	notDE
LOC100823911	KOZ1C	KOZ1T	89.27637752174432	68.2273339847213	0.38298174858353007	0.2642347616407277	0.9999258991348372	notDE
LOC100823912	KOZ1C	KOZ1T	126.14869633380506	127.48478749562476	-0.021089345946268608	0.9498874050528131	0.9999258991348372	notDE
LOC100823913	KOZ1C	KOZ1T	248.9939873594954	119.0355852672633	1.0675322883508227	0.034666812063098774	0.8941136733195492	notDE
LOC100823914	KOZ1C	KOZ1T	460.4983965474813	444.62492204480196	0.04940246017025289	0.8076124260573946	0.9999258991348372	notDE
LOC100823915	KOZ1C	KOZ1T	379.5101741605595	459.053384443518	-0.2758417243763837	0.08659909848340383	0.9999258991348372	notDE
LOC100823916	KOZ1C	KOZ1T	159.50257741381088	140.94536519228015	0.1794466850951248	0.5755026843869309	0.9999258991348372	notDE
LOC100823917	KOZ1C	KOZ1T	186.35285326012138	214.1151349045202	-0.1973206937332715	0.3961546288930602	0.9999258991348372	notDE
LOC100823919	KOZ1C	KOZ1T	33.88134609811546	39.88214052019331	-0.22917555985911814	0.5530956649514587	0.9999258991348372	notDE
LOC100823924	KOZ1C	KOZ1T	333.4293043641258	321.12974905088527	0.054368421297819935	0.7280707272390254	0.9999258991348372	notDE
LOC100823925	KOZ1C	KOZ1T	344.125148463874	281.7090902438672	0.2887773957869598	0.07853987212640953	0.9999258991348372	notDE
LOC100823926	KOZ1C	KOZ1T	126.59680732811366	210.7446090485408	-0.74006332260630725	0.10960401558936722	0.9999258991348372	notDE
LOC100823927	KOZ1C	KOZ1T	1841.796231274445	1617.1401917831856	0.18752710883993487	0.4582201290798708	0.9999258991348372	notDE
LOC100823928	KOZ1C	KOZ1T	50.14302610717905	55.503104189959885	-0.15733299549311835	0.711450800225418	0.9999258991348372	notDE
LOC100823929	KOZ1C	KOZ1T	12.203721544453726	9.60325911919213	0.3308891508400427	0.6710041066570269	0.9999258991348372	notDE
LOC100823930	KOZ1C	KOZ1T	185.96655963866084	204.8414519983293	-0.13760340310896724	0.5039003490378403	0.9999258991348372	notDE
LOC100823931	KOZ1C	KOZ1T	7.022420774308083	2.427056709866542	1.5480743044090097	0.20453583067642492	0.9999258991348372	notDE
LOC100823932	KOZ1C	KOZ1T	586.2196104826343	520.5189942840052	0.17101568709369802	0.4741233240471339	0.9999258991348372	notDE
LOC100823933	KOZ1C	KOZ1T	1.1203409699345752	45.95368645085982	-5.331043427814295	NA	NA	notDE
LOC100823935	KOZ1C	KOZ1T	492.6343913254898	475.44300767917537	0.05247428915379491	0.7293639364005788	0.9999258991348372	notDE
LOC100823936	KOZ1C	KOZ1T	4599.623108132469	5290.23593456071	-0.20208539481712995	0.23772618388412206	0.9999258991348372	notDE
LOC100823937	KOZ1C	KOZ1T	22.754830940195127	11.86809712864227	0.9537882574209621	0.22934923801694623	0.9999258991348372	notDE
LOC100823940	KOZ1C	KOZ1T	492.2582478493267	443.2376895171176	0.15180486849953082	0.5156617685255378	0.9999258991348372	notDE
LOC100823942	KOZ1C	KOZ1T	482.7152457349604	538.9711194320817	-0.15768484808244593	0.6518235252682996	0.9999258991348372	notDE
LOC100823944	KOZ1C	KOZ1T	34.824763564390985	22.205026573633827	0.6606521959132033	0.25943448042453676	0.9999258991348372	notDE
LOC100823945	KOZ1C	KOZ1T	42.35235691722805	39.92828340034927	0.0942964864973148	0.8044761115442306	0.9999258991348372	notDE
LOC100823947	KOZ1C	KOZ1T	283.9654898368811	349.83502883204454	-0.3029249357769333	0.12480824062295415	0.9999258991348372	notDE
LOC100823949	KOZ1C	KOZ1T	13.86941871275772	4.722116839402682	1.5672303580406586	0.24414181902230125	0.9999258991348372	notDE
LOC100823950	KOZ1C	KOZ1T	354.86708824556274	325.168635420793	0.12875716060670453	0.5942208458512375	0.9999258991348372	notDE
LOC100823951	KOZ1C	KOZ1T	189.8665150850178	186.89729562285137	0.02539965301229671	0.932132919196352	0.9999258991348372	notDE
LOC100823954	KOZ1C	KOZ1T	2.4700481909993	1.3909756513568918	0.845477834704684	0.6029063605805423	NA	notDE
LOC100823958	KOZ1C	KOZ1T	718.0598583045153	714.309058983337	0.00902403651735657	0.9649246986388549	0.9999258991348372	notDE
LOC100823959	KOZ1C	KOZ1T	297.68845962966736	319.42368070685603	-0.10096307500104419	0.5438770842597527	0.9999258991348372	notDE
LOC100823960	KOZ1C	KOZ1T	83.121746673392	78.50987955751525	0.08170116247827486	0.8104164096227205	0.9999258991348372	notDE
LOC100823962	KOZ1C	KOZ1T	296.3989522803026	281.02729701411323	0.07565058938218025	0.6735634311950283	0.9999258991348372	notDE
LOC100823963	KOZ1C	KOZ1T	341.86782222631984	385.18485392578384	-0.17242181715626126	0.39386657739138964	0.9999258991348372	notDE
LOC100823964	KOZ1C	KOZ1T	1278.5851611259075	1219.351138554439	0.06795992538919976	0.6476340254243398	0.9999258991348372	notDE
LOC100823965	KOZ1C	KOZ1T	137.69709612052233	156.1260051728037	-0.18191501726330409	0.48002978445218414	0.9999258991348372	notDE
LOC100823966	KOZ1C	KOZ1T	443.92073062044284	414.7306604047067	0.09955243525359547	0.5071698168746424	0.9999258991348372	notDE
LOC100823967	KOZ1C	KOZ1T	153.03132818515581	126.37247805710778	0.2799034048563773	0.3887966146718899	0.9999258991348372	notDE
LOC100823968	KOZ1C	KOZ1T	4622.236383016834	5278.052528497971	-0.19165314271993256	0.3483141513493263	0.9999258991348372	notDE
LOC100823969	KOZ1C	KOZ1T	599.4008076543662	527.0560643954339	0.18725238260808608	0.528713172768638	0.9999258991348372	notDE
LOC100823973	KOZ1C	KOZ1T	40.634571530759715	26.86188651278095	0.6070471015734359	0.254590576029521	0.9999258991348372	notDE
LOC100823977	KOZ1C	KOZ1T	1.9701027637521993	2.0371728769279542	-0.05906940988710036	0.9757220644348935	NA	notDE
LOC100823981	KOZ1C	KOZ1T	66.16566108246926	72.75987711156634	-0.1300839713163647	0.6783817890672086	0.9999258991348372	notDE
LOC100823982	KOZ1C	KOZ1T	424.65440468184056	415.2585101057937	0.03217841518800822	0.842388719963386	0.9999258991348372	notDE
LOC100823983	KOZ1C	KOZ1T	114.18815120795321	120.90868497179248	-0.08454914204052282	0.7026245085779119	0.9999258991348372	notDE
LOC100823984	KOZ1C	KOZ1T	207.2632083312461	199.20409704068274	0.05393228800728944	0.7868636399811032	0.9999258991348372	notDE
LOC100823985	KOZ1C	KOZ1T	2789.529747049772	3012.930317651329	-0.11156835824202489	0.6026634262706665	0.9999258991348372	notDE
LOC100823986	KOZ1C	KOZ1T	1932.3422733562236	1805.4905902648807	0.0986237156178199	0.5342309359014588	0.9999258991348372	notDE
LOC100823988	KOZ1C	KOZ1T	120.21229862891518	114.67289506878475	0.0654335571327749	0.8042051493947816	0.9999258991348372	notDE
LOC100823989	KOZ1C	KOZ1T	43.070438773121	40.40087321351088	0.09585154694513753	0.7943693605463354	0.9999258991348372	notDE
LOC100823992	KOZ1C	KOZ1T	35.659990042856805	32.99538627160918	0.12100230892615857	0.7951401112754933	0.9999258991348372	notDE
LOC100823993	KOZ1C	KOZ1T	35.67555466335497	43.477274868899904	-0.2969066553485518	0.5455469725314237	0.9999258991348372	notDE
LOC100823994	KOZ1C	KOZ1T	10.246957585519025	16.26840860322848	-0.6802714021741199	0.5304386909422054	0.9999258991348372	notDE
LOC100823996	KOZ1C	KOZ1T	941.3336378380776	1070.1141667059806	-0.18615445432458555	0.2820351194187695	0.9999258991348372	notDE
LOC100823997	KOZ1C	KOZ1T	54.272367923197024	34.631567215612144	0.6437003857406798	0.3613191924285878	0.9999258991348372	notDE
LOC100823998	KOZ1C	KOZ1T	179.19854510543894	179.36568293674347	0.002785693004375242	0.9925574077263108	0.9999258991348372	notDE
LOC100823999	KOZ1C	KOZ1T	162.54655081771938	379.4244217874634	-1.2260360158697063	0.017850131910651202	0.7039868822705112	notDE
LOC100824000	KOZ1C	KOZ1T	116.94704037390255	110.8230211874214	0.07466428897017381	0.7415400980290198	0.9999258991348372	notDE
LOC100824001	KOZ1C	KOZ1T	194.1729939528589	202.2079792600292	-0.056294751140981876	0.8408313442730917	0.9999258991348372	notDE
LOC100824002	KOZ1C	KOZ1T	25.52886373602886	80.30501359365633	-1.6458347886821263	0.022504436930143864	0.76248235417413	notDE
LOC100824003	KOZ1C	KOZ1T	51.120153159438345	158.44006143411258	-1.639029760101324	0.004707836869352532	0.38825367091966495	notDE
LOC100824004	KOZ1C	KOZ1T	254.2883214859163	273.2416955512121	-0.09999331910853156	0.677190396607293	0.9999258991348372	notDE
LOC100824005	KOZ1C	KOZ1T	0.35312185943802876	3.3231808080108087	-3.273189432837134	0.1790773848274503	NA	notDE
LOC100824006	KOZ1C	KOZ1T	87.86930455919291	90.22080571775311	-0.04565141114265138	0.8895743141026802	0.9999258991348372	notDE
LOC100824009	KOZ1C	KOZ1T	272.51987059203714	224.7338782823031	0.2807809753175441	0.271222119583581	0.9999258991348372	notDE
LOC100824010	KOZ1C	KOZ1T	2493.677279243469	2444.907601743609	0.02891800222142799	0.8133454559490298	0.9999258991348372	notDE
LOC100824011	KOZ1C	KOZ1T	453.78822910195254	573.5455803640488	-0.33989404480814633	0.23251250285160396	0.9999258991348372	notDE
LOC100824013	KOZ1C	KOZ1T	914.1682119493054	980.3473564540576	-0.10192616989923316	0.6519490932879554	0.9999258991348372	notDE
LOC100824014	KOZ1C	KOZ1T	1.8117452161925305	23.82737630147763	-3.778764962473009	0.006482511530694975	0.4522467097443979	notDE
LOC100824015	KOZ1C	KOZ1T	81.38554241768135	36.511379592285465	1.1598074062570463	0.26738177391745727	0.9999258991348372	notDE
LOC100824017	KOZ1C	KOZ1T	109.61168135999688	93.5327873456211	0.2340403075582667	0.44792928041120145	0.9999258991348372	notDE
LOC100824018	KOZ1C	KOZ1T	7.8275473169239245	8.22339156782164	-0.04300292590827043	0.9608185245340898	0.9999258991348372	notDE
LOC100824020	KOZ1C	KOZ1T	63.366400972760665	84.3986897076325	-0.42245419084072194	0.3056175308629446	0.9999258991348372	notDE
LOC100824022	KOZ1C	KOZ1T	323.4806127509742	300.3538350886511	0.10796492995169737	0.5561083413512673	0.9999258991348372	notDE
LOC100824023	KOZ1C	KOZ1T	2.9699936182464013	3.348635808091463	-0.15964434050582876	0.9105121762663422	NA	notDE
LOC100824024	KOZ1C	KOZ1T	85.89306217235995	78.21441656887761	0.1366689605913985	0.6989623796959239	0.9999258991348372	notDE
LOC100824025	KOZ1C	KOZ1T	155.38875387551494	182.87977624535918	-0.23153039949485965	0.29666006248086535	0.9999258991348372	notDE
LOC100824027	KOZ1C	KOZ1T	510.1486080228195	204.61003238176417	1.3197442536449475	0.003928718387634695	0.3666629218752931	notDE
LOC100824028	KOZ1C	KOZ1T	1176.3296546993915	1150.389303768269	0.031405667954027855	0.8548707870140803	0.9999258991348372	notDE
LOC100824031	KOZ1C	KOZ1T	736.7509456863265	686.6001112721281	0.10310533423369904	0.7175513899207628	0.9999258991348372	notDE
LOC100824033	KOZ1C	KOZ1T	1078.708447497088	652.5481837623249	0.7260219496254482	0.08655204547449741	0.9999258991348372	notDE
LOC100824034	KOZ1C	KOZ1T	338.04453778967206	276.4102463466784	0.292986976287341	0.41507678014713845	0.9999258991348372	notDE
